x_interval,y_interval,count,percentage,Pitch_Number,alpha
"(32.0, 36.0)","(92.0, 96.0)",33,0.08,264,0.11498257839721254
"(32.0, 36.0)","(96.0, 100.0)",22,0.05,265,0.07665505226480836
"(32.0, 36.0)","(100.0, 104.0)",12,0.03,266,0.041811846689895474
"(32.0, 36.0)","(104.0, 108.0)",18,0.04,267,0.0627177700348432
"(32.0, 36.0)","(108.0, 112.0)",2,0.0,268,0.006968641114982578
"(32.0, 36.0)","(112.0, 116.0)",2,0.0,269,0.006968641114982578
"(32.0, 36.0)","(116.0, 120.0)",1,0.0,270,0.003484320557491289
"(36.0, 40.0)","(0.0, 4.0)",21,0.05,271,0.07317073170731707
"(36.0, 40.0)","(4.0, 8.0)",232,0.56,272,0.8083623693379791
"(36.0, 40.0)","(8.0, 12.0)",117,0.28,273,0.4076655052264808
"(36.0, 40.0)","(12.0, 16.0)",107,0.26,274,0.37282229965156793
"(36.0, 40.0)","(16.0, 20.0)",75,0.18,275,0.2613240418118467
"(36.0, 40.0)","(20.0, 24.0)",53,0.13,276,0.18466898954703834
"(36.0, 40.0)","(24.0, 28.0)",44,0.11,277,0.15331010452961671
"(36.0, 40.0)","(28.0, 32.0)",65,0.16,278,0.2264808362369338
"(36.0, 40.0)","(32.0, 36.0)",90,0.22,279,0.313588850174216
"(36.0, 40.0)","(36.0, 40.0)",73,0.18,280,0.25435540069686413
"(36.0, 40.0)","(40.0, 44.0)",107,0.26,281,0.37282229965156793
"(36.0, 40.0)","(44.0, 48.0)",84,0.2,282,0.2926829268292683
"(36.0, 40.0)","(48.0, 52.0)",89,0.21,283,0.31010452961672474
"(36.0, 40.0)","(52.0, 56.0)",168,0.41,284,0.5853658536585366
"(36.0, 40.0)","(56.0, 60.0)",197,0.48,285,0.686411149825784
"(36.0, 40.0)","(60.0, 64.0)",208,0.5,286,0.7247386759581882
"(36.0, 40.0)","(64.0, 68.0)",138,0.33,287,0.4808362369337979
"(36.0, 40.0)","(68.0, 72.0)",55,0.13,288,0.1916376306620209
"(36.0, 40.0)","(72.0, 76.0)",76,0.18,289,0.26480836236933797
"(36.0, 40.0)","(76.0, 80.0)",87,0.21,290,0.30313588850174217
"(36.0, 40.0)","(80.0, 84.0)",59,0.14,291,0.20557491289198607
"(36.0, 40.0)","(84.0, 88.0)",65,0.16,292,0.2264808362369338
"(36.0, 40.0)","(88.0, 92.0)",41,0.1,293,0.14285714285714285
"(36.0, 40.0)","(92.0, 96.0)",31,0.07,294,0.10801393728222997
"(36.0, 40.0)","(96.0, 100.0)",17,0.04,295,0.059233449477351915
"(36.0, 40.0)","(100.0, 104.0)",20,0.05,296,0.06968641114982578
"(36.0, 40.0)","(104.0, 108.0)",14,0.03,297,0.04878048780487805
"(36.0, 40.0)","(108.0, 112.0)",8,0.02,298,0.027874564459930314
"(36.0, 40.0)","(112.0, 116.0)",0,0.0,299,0.0
