Pitch_Number,count,x_interval,y_interval,percentage,alpha
157,199.0,"(30.0, 35.0)","(60.0, 65.0)",0.005074718212883154,0.5512465373961218
158,115.0,"(30.0, 35.0)","(65.0, 70.0)",0.0029326261029224256,0.3185595567867036
159,133.0,"(30.0, 35.0)","(70.0, 75.0)",0.003391645840771153,0.3684210526315789
160,121.0,"(30.0, 35.0)","(75.0, 80.0)",0.003085632682205335,0.33518005540166207
161,92.0,"(30.0, 35.0)","(80.0, 85.0)",0.0023461008823379404,0.2548476454293629
162,72.0,"(30.0, 35.0)","(85.0, 90.0)",0.00183607895139491,0.1994459833795014
163,67.0,"(30.0, 35.0)","(90.0, 95.0)",0.0017085734686591524,0.18559556786703602
164,33.0,"(30.0, 35.0)","(95.0, 100.0)",0.0008415361860560004,0.09141274238227147
165,20.0,"(30.0, 35.0)","(100.0, 105.0)",0.0005100219309430305,0.055401662049861494
166,19.0,"(30.0, 35.0)","(105.0, 110.0)",0.000484520834395879,0.05263157894736842
167,3.0,"(30.0, 35.0)","(110.0, 115.0)",7.650328964145459e-05,0.008310249307479225
168,4.0,"(30.0, 35.0)","(115.0, 120.0)",0.00010200438618860611,0.0110803324099723
169,46.0,"(35.0, 40.0)","(0.0, 5.0)",0.0011730504411689702,0.12742382271468145
170,316.0,"(35.0, 40.0)","(5.0, 10.0)",0.008058346508899883,0.8753462603878116
171,138.0,"(35.0, 40.0)","(10.0, 15.0)",0.003519151323506911,0.38227146814404434
172,108.0,"(35.0, 40.0)","(15.0, 20.0)",0.002754118427092365,0.29916897506925205
173,71.0,"(35.0, 40.0)","(20.0, 25.0)",0.0018105778548477584,0.19667590027700832
174,91.0,"(35.0, 40.0)","(25.0, 30.0)",0.0023205997857907892,0.2520775623268698
175,96.0,"(35.0, 40.0)","(30.0, 35.0)",0.002448105268526547,0.2659279778393352
176,119.0,"(35.0, 40.0)","(35.0, 40.0)",0.0030346304891110316,0.3296398891966759
177,139.0,"(35.0, 40.0)","(40.0, 45.0)",0.0035446524200540624,0.3850415512465374
178,115.0,"(35.0, 40.0)","(45.0, 50.0)",0.0029326261029224256,0.3185595567867036
179,199.0,"(35.0, 40.0)","(50.0, 55.0)",0.005074718212883154,0.5512465373961218
180,271.0,"(35.0, 40.0)","(55.0, 60.0)",0.006910797164278064,0.7506925207756233
181,208.0,"(35.0, 40.0)","(60.0, 65.0)",0.005304228081807518,0.5761772853185596
182,144.0,"(35.0, 40.0)","(65.0, 70.0)",0.00367215790278982,0.3988919667590028
183,97.0,"(35.0, 40.0)","(70.0, 75.0)",0.002473606365073698,0.26869806094182824
184,116.0,"(35.0, 40.0)","(75.0, 80.0)",0.002958127199469577,0.32132963988919666
185,86.0,"(35.0, 40.0)","(80.0, 85.0)",0.002193094303055031,0.23822714681440443
186,69.0,"(35.0, 40.0)","(85.0, 90.0)",0.0017595756617534554,0.19113573407202217
187,66.0,"(35.0, 40.0)","(90.0, 95.0)",0.0016830723721120008,0.18282548476454294
188,27.0,"(35.0, 40.0)","(95.0, 100.0)",0.0006885296067730912,0.07479224376731301
189,26.0,"(35.0, 40.0)","(100.0, 105.0)",0.0006630285102259397,0.07202216066481995
190,19.0,"(35.0, 40.0)","(105.0, 110.0)",0.000484520834395879,0.05263157894736842
191,5.0,"(35.0, 40.0)","(110.0, 115.0)",0.00012750548273575762,0.013850415512465374
192,0.0,"(35.0, 40.0)","(115.0, 120.0)",0.0,0.0
193,65.0,"(40.0, 45.0)","(0.0, 5.0)",0.0016575712755648492,0.18005540166204986
194,361.0,"(40.0, 45.0)","(5.0, 10.0)",0.009205895853521702,1.0
195,161.0,"(40.0, 45.0)","(10.0, 15.0)",0.004105676544091396,0.44598337950138506
196,137.0,"(40.0, 45.0)","(15.0, 20.0)",0.003493650226959759,0.37950138504155123
197,80.0,"(40.0, 45.0)","(20.0, 25.0)",0.002040087723772122,0.22160664819944598
198,95.0,"(40.0, 45.0)","(25.0, 30.0)",0.002422604171979395,0.2631578947368421
199,91.0,"(40.0, 45.0)","(30.0, 35.0)",0.0023205997857907892,0.2520775623268698
200,128.0,"(40.0, 45.0)","(35.0, 40.0)",0.0032641403580353956,0.3545706371191136
201,168.0,"(40.0, 45.0)","(40.0, 45.0)",0.004284184219921457,0.46537396121883656
202,112.0,"(40.0, 45.0)","(45.0, 50.0)",0.002856122813280971,0.31024930747922436
203,186.0,"(40.0, 45.0)","(50.0, 55.0)",0.004743203957770184,0.5152354570637119
204,207.0,"(40.0, 45.0)","(55.0, 60.0)",0.005278726985260366,0.5734072022160664
205,283.0,"(40.0, 45.0)","(60.0, 65.0)",0.007216810322843882,0.7839335180055401
206,117.0,"(40.0, 45.0)","(65.0, 70.0)",0.002983628296016729,0.32409972299168976
207,80.0,"(40.0, 45.0)","(70.0, 75.0)",0.002040087723772122,0.22160664819944598
208,119.0,"(40.0, 45.0)","(75.0, 80.0)",0.0030346304891110316,0.3296398891966759
209,88.0,"(40.0, 45.0)","(80.0, 85.0)",0.0022440964961493344,0.24376731301939059
210,61.0,"(40.0, 45.0)","(85.0, 90.0)",0.0015555668893762432,0.16897506925207756
211,47.0,"(40.0, 45.0)","(90.0, 95.0)",0.0011985515377161218,0.13019390581717452
212,31.0,"(40.0, 45.0)","(95.0, 100.0)",0.0007905339929616974,0.08587257617728532
213,25.0,"(40.0, 45.0)","(100.0, 105.0)",0.0006375274136787882,0.06925207756232687
214,8.0,"(40.0, 45.0)","(105.0, 110.0)",0.00020400877237721223,0.0221606648199446
215,1.0,"(40.0, 45.0)","(110.0, 115.0)",2.5501096547151528e-05,0.002770083102493075
216,1.0,"(40.0, 45.0)","(115.0, 120.0)",2.5501096547151528e-05,0.002770083102493075
217,51.0,"(45.0, 50.0)","(0.0, 5.0)",0.001300555923904728,0.14127423822714683
218,120.0,"(45.0, 50.0)","(5.0, 10.0)",0.003060131585658183,0.33240997229916897
219,127.0,"(45.0, 50.0)","(10.0, 15.0)",0.003238639261488244,0.3518005540166205
220,57.0,"(45.0, 50.0)","(15.0, 20.0)",0.001453562503187637,0.15789473684210525
221,84.0,"(45.0, 50.0)","(20.0, 25.0)",0.0021420921099607284,0.23268698060941828
222,78.0,"(45.0, 50.0)","(25.0, 30.0)",0.001989085530677819,0.21606648199445982
223,94.0,"(45.0, 50.0)","(30.0, 35.0)",0.0023971030754322436,0.26038781163434904
224,88.0,"(45.0, 50.0)","(35.0, 40.0)",0.0022440964961493344,0.24376731301939059
225,169.0,"(45.0, 50.0)","(40.0, 45.0)",0.004309685316468608,0.46814404432132967
226,155.0,"(45.0, 50.0)","(45.0, 50.0)",0.003952669964808486,0.4293628808864266
227,150.0,"(45.0, 50.0)","(50.0, 55.0)",0.003825164482072729,0.4155124653739612
